empresa,energia_vendida_mwh,ano
ALGAR,20406,2024
AMARSUL,19795,2024
ERSUC,37977,2024
LIPOR,185044,2024
RESINORTE,16302,2024
RESULIMA,8207,2024
RESIESTRELA,4054,2024
SULDOURO,17487,2024
TRATOLIXO,19531,2024
AMBISOUSA,4222,2024
VALNOR,1999,2024
AMBILITAL,0,2024
VALORMINHO,1626,2024
VALORLIS,10429,2024
VALORSUL,372000,2024
